Wavelength [A],flux [erg/cm^2/s/A]
244.0,90.7023410449671
245.0,748.6399131942563
246.0,382.7310183703539
247.0,88.88680315460209
248.0,69.58370725545623
249.0,210.40999865558638
250.0,78.70839586045098
251.0,71.52798922617326
252.0,283.96222046235704
253.0,30.567998958294115
254.0,278.3888999855529
255.0,131.92562858353241
256.0,382.99475645163665
257.0,386.7252094084054
258.0,663.8726372062113
259.0,90.38844301625124
260.0,106.93316896092371
261.0,225.22214441481793
262.0,68.00226629969092
263.0,19.977993277993487
264.0,97.17920234003341
265.0,200.92243260092098
266.0,50.56722413498211
267.0,49.04526995379031
268.0,50.006958366017116
269.0,97.61744196719744
270.0,80.62351894120414
271.0,69.84036037958766
272.0,260.3492837743646
273.0,76.76317283000056
274.0,189.67384227967673
275.0,203.36002005434932
276.0,138.91217325106572
277.0,798.4567375343628
278.0,156.40413748674416
279.0,82.82135323794071
280.0,119.49942387187521
281.0,130.30597552673603
282.0,23.8969156647727
283.0,42.56539358248142
284.0,275.25656868678203
285.0,13.927234762101792
286.0,40.339414884495135
287.0,21.442954368980367
288.0,18.48333081127369
289.0,26.968170741119057
290.0,55.43045917354054
291.0,239.19570550592508
292.0,48.23423677332505
293.0,256.32270628327615
294.0,33.869855652058455
295.0,23.493229175704272
296.0,396.20143519038027
297.0,36.28243969066975
298.0,27.961929616386005
299.0,32.61328255341733
300.0,34.3757945436418
301.0,33.859313481924204
302.0,16.831486958354724
303.0,618.4995568807939
304.0,2298.370430991732
305.0,36.7887973162846
306.0,54.53994176546298
307.0,60.14697208594357
308.0,105.70569556658157
309.0,113.18890494288189
310.0,33.91478371213441
311.0,54.808330042366556
312.0,194.91560275375966
313.0,79.46702789912258
314.0,344.93478737598593
315.0,805.1401420498529
316.0,319.57260140977877
317.0,259.30671594656417
318.0,73.86726079638659
319.0,345.16902803118813
320.0,527.6554487134574
321.0,170.91694873167535
322.0,41.494013911832944
323.0,70.68779129422394
324.0,36.85668121160156
325.0,42.702913349956916
326.0,20.10560093164605
327.0,11.824367385303072
328.0,36.85971287552292
329.0,22.460074521061856
330.0,124.49519652773161
331.0,14.039885413919414
332.0,28.621250904944194
333.0,116.08637047325011
334.0,93.25819942828603
335.0,192.2695473996897
336.0,39.13126065214348
337.0,33.53980681338862
338.0,84.26697128018151
339.0,181.007536795383
340.0,65.26958595347925
341.0,167.92212906412504
342.0,139.9469194974996
343.0,36.00052918679632
344.0,13.81386272352954
345.0,278.6158652295629
346.0,180.58941306674538
347.0,187.45967607000958
348.0,126.1215918116708
349.0,285.16041216321855
350.0,367.5621780940426
351.0,75.00307479320453
352.0,270.86972360520355
353.0,365.4469913043815
354.0,151.4228868457698
355.0,63.67616611059078
356.0,370.8701817161391
357.0,71.00551027139711
358.0,102.00445797705429
359.0,213.70545787311107
360.0,102.65525858026038
361.0,38.8947570308947
362.0,11.37465482332712
363.0,16.7348681636993
364.0,134.24064123354316
365.0,267.38492628107855
366.0,137.2824762141871
367.0,106.78879903585155
368.0,1802.343815288231
369.0,153.50054316369813
370.0,11.9043242857668
371.0,10.087216101358477
372.0,19.2042685995783
373.0,6.8800341727954395
374.0,105.30850117444098
375.0,22.466479730303867
376.0,13.826463884464594
377.0,8.51952725152255
378.0,24.862601197844317
379.0,31.61969044055635
380.0,83.6721997460229
381.0,38.64928647925265
382.0,40.86711449020612
383.0,37.019262598554555
384.0,39.013777219118026
385.0,27.812152177772557
386.0,19.74386571225516
387.0,17.23047080415592
388.0,62.24322241855319
389.0,10.286060369785943
390.0,5.539328494537086
391.0,5.984227675829314
392.0,26.92872518862311
393.0,17.99066434019334
394.0,5.473360375018409
395.0,23.349582802794757
396.0,20.96329445831116
397.0,5.512854694832192
398.0,6.330169258091448
399.0,54.77812086894942
400.0,127.85868843968302
401.0,280.0372763104794
402.0,456.0747242904274
403.0,207.2846328386302
404.0,55.61686264864643
405.0,4.494083030080356
406.0,10.302415484925573
407.0,13.695601588367248
408.0,9.041686535727449
409.0,10.840551499882327
410.0,15.893044849053695
411.0,78.72310096846044
412.0,23.21065073641844
413.0,16.38537098099964
414.0,21.11420996140554
415.0,19.351781117069937
416.0,135.52073597695636
417.0,50.97706513754145
418.0,15.806982874702674
419.0,9.185051951641263
420.0,19.98855174695024
421.0,17.49270614099649
422.0,18.563329021709677
423.0,14.618603542725598
424.0,6.401423284424796
425.0,3.1942080900857595
426.0,3.8669504460405686
427.0,5.4516338016801
428.0,22.52819337244866
429.0,57.60762591959889
430.0,128.87683756142528
431.0,217.22658094476452
432.0,48.7072737576368
433.0,84.19420004392678
434.0,60.18564131846435
435.0,279.2870947319944
436.0,225.5161956282073
437.0,319.3382308520552
438.0,14.505032531996704
439.0,27.967572256150877
440.0,11.435361108503919
441.0,31.129468696281283
442.0,10.662304870974868
443.0,23.73244794420197
444.0,65.88002619145513
445.0,9.461346113784906
446.0,7.0920164750951695
447.0,10.55280319934659
448.0,20.884369008695188
449.0,8.267397811014428
450.0,4.73513158738889
451.0,8.51919016532106
452.0,15.957586710391606
453.0,9.713301099849499
454.0,5.1818007215798
455.0,6.507472609252357
456.0,4.709418823841249
457.0,4.0436231767461175
458.0,5.5268399074185455
459.0,38.000592078347914
460.0,54.94401956650718
461.0,13.691449349262642
462.0,10.442419874838786
463.0,9.352965479688509
464.0,40.40488832781909
465.0,995.3916357394709
466.0,408.08552633880146
467.0,46.558330404463334
468.0,5.129527458638767
469.0,19.176579191062068
470.0,79.2518309829691
471.0,11.416311008074919
472.0,3.5888233496642106
473.0,2.859560646971607
474.0,3.01625269651653
475.0,3.1679119361699697
476.0,3.5626838731663333
477.0,3.376256636156573
478.0,3.475282398892127
479.0,5.847656400984675
480.0,20.42813025065454
481.0,66.32879585001882
482.0,42.998879806593585
483.0,112.33196117566352
484.0,17.38834913092585
485.0,6.596783495099769
486.0,7.054710095746513
487.0,18.296973117434305
488.0,19.052232113795682
489.0,41.36426089698329
490.0,42.85999691882558
491.0,28.772827022662312
492.0,26.004712614076535
493.0,10.285937443668834
494.0,11.863738762223957
495.0,7.969643152728014
496.0,7.252557959952106
497.0,3.9558226065748756
498.0,6.5196082571813365
499.0,60.909063136629655
500.0,45.43358147184923
501.0,6.829832046301092
502.0,3.3676582821859973
503.0,3.8204330491479617
504.0,3.082657731446494
505.0,2.4490379597203935
506.0,7.51503897626068
